1,0,0,3,25
1,0,0,3,50
1,1,1,2,100
0,1,0,0,100
0,1,0,0,100
0,1,0,0,100
1,0,0,3,125
0,1,0,0,125
0,0,1,3,150
1,0,1,0,150
1,1,1,2,200
0,1,0,0,200
1,0,0,3,225
0,0,1,3,250
1,1,1,2,300
1,1,1,2,350
1,0,1,0,350
0,1,0,0,350
1,0,1,0,350
0,0,0,1,450
1,0,0,3,475
0,0,1,3,500
0,0,0,1,600
0,1,1,3,625
0,0,0,1,725
0,1,0,0,725
0,1,1,3,750
1,0,1,0,750
0,1,0,0,750
1,0,0,3,775
1,0,1,0,775
0,0,0,1,875
1,0,1,0,875
1,0,0,3,900
1,1,1,2,950
1,1,1,2,1000
1,1,1,2,1050
1,1,1,2,1100
0,0,1,3,1125
1,1,0,3,1150
0,1,0,0,1150
0,0,1,3,1175
1,0,1,0,1175
0,0,1,3,1200
1,1,1,2,1250
1,0,0,3,1275
1,0,0,3,1300
0,1,0,0,1300
1,1,0,3,1325
1,0,0,3,1350
